Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female	NCBI Lagopus muta Annotation Release 100	Chromosome	2022-05-12	JAMCCT01	164
GCA_028769735.2	RI_Zleu_2.0	Zonotrichia leucophrys gambelii					GWCS_2022_RI	female		Chromosome	2023-12-27	JAPPSN02	3792
GCF_028769735.1	RI_Zleu_2.0	Zonotrichia leucophrys gambelii					GWCS_2022_RI	female	GCF_028769735.1-RS_2024_04	Chromosome	2023-12-27	JAPPSN02	3792
GCA_045364795.1	bWilVid1 haplotype 1	Willisornis vidua					bWilVid1	female		Chromosome	2024-12-02	JBIYRB01	1510
GCA_036417845.1	bAptMan1.hap1	Apteryx mantelli					bAptMan1	male		Chromosome	2024-02-06	JAYMGQ01	408
GCF_036417845.1	bAptMan1.hap1	Apteryx mantelli					bAptMan1	male	GCF_036417845.1-RS_2024_08	Chromosome	2024-02-06	JAYMGQ01	408
GCA_037038585.2	bPatFas1.hap1	Patagioenas fasciata					bPatFas1	female		Chromosome	2025-02-07	JBAMBU02	360
GCF_037038585.1	bPatFas1.hap1	Patagioenas fasciata					bPatFas1	female	GCF_037038585.1-RS_2025_02	Chromosome	2025-02-07	JBAMBU02	360
GCA_026413225.1	OTswu	Otis tarda					OTA-swuaves1	male		Chromosome	2022-11-27	JAPMTP01	117
GCA_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male		Chromosome	2023-02-24	JARBUS01	929
GCF_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male	GCF_028858705.1-RS_2023_03	Chromosome	2023-02-24	JARBUS01	929
GCA_037042795.1	BPBGC_Maene_1.0	Molothrus aeneus					106	female		Chromosome	2024-03-07	JAXHEC01	527
GCF_037042795.1	BPBGC_Maene_1.0	Molothrus aeneus					106	female	GCF_037042795.1-RS_2024_07	Chromosome	2024-03-07	JAXHEC01	527
GCA_036013445.1	bCalNic1.hap1	Caloenas nicobarica					bCalNic1	female		Chromosome	2024-01-26	JAYKXI01	806
GCF_036013445.1	bCalNic1.hap1	Caloenas nicobarica					bCalNic1	female	GCF_036013445.1-RS_2024_06	Chromosome	2024-01-26	JAYKXI01	806
GCA_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female		Chromosome	2022-06-02	JAMOAT01	397
GCF_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female	GCF_023638135.1-RS_2023_05	Chromosome	2022-06-02	JAMOAT01	397
GCA_013407035.1	ASM1340703v1	Coloeus monedula					S_Up_J01	male		Chromosome	2020-07-13	JABDSK01	41
GCA_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis					bCorHaw1	female		Chromosome	2021-11-04	JAJGSY01	187
GCF_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis					bCorHaw1	female	NCBI Corvus hawaiiensis Annotation Release 100	Chromosome	2021-11-04	JAJGSY01	187
GCA_037157495.1	bLatDis1.hap1	Lathamus discolor					bLatDis1	female		Chromosome	2024-03-15	JBBBVN01	367
GCF_037157495.1	bLatDis1.hap1	Lathamus discolor					bLatDis1	female	GCF_037157495.1-RS_2024_06	Chromosome	2024-03-15	JBBBVN01	367
GCA_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female		Chromosome	2019-12-31	WNMM01	104
GCF_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female	NCBI Aythya fuligula Annotation Release 100	Chromosome	2019-12-31	WNMM01	104
GCA_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female		Chromosome	2022-11-27	JAPMHW01	322
GCF_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female	GCF_026419915.1-RS_2023_02	Chromosome	2022-11-27	JAPMHW01	322
GCA_965212795.1	bBubSca1.1.h1	Bubo scandiacus							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-20	CBDBYL01	1104
GCA_047716275.1	bStrUra1	Strix uralensis					ZFMK-TIS-50842	male		Chromosome	2025-02-12	JBLIQI01	511
GCA_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female		Chromosome	2022-12-21	JAPVQZ01	177
GCF_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female	GCF_026979565.1-RS_2023_03	Chromosome	2022-12-21	JAPVQZ01	177
GCA_027474245.1	bSphHub1.pri	Spheniscus humboldti					bSphHub1	female		Chromosome	2022-12-28	JAPZLJ01	136
GCA_031877785.1	bStrAlu1.hap2	Strix aluco					bStrAlu1	female		Chromosome	2023-09-25	JAVFLE01	184
GCA_030936135.1	bGavSte3.hap2	Gavia stellata					bGavSte3	male		Chromosome	2023-08-30	JAVGIZ01	1185
GCF_030936135.1	bGavSte3.hap2	Gavia stellata					bGavSte3	male	GCF_030936135.1-RS_2023_09	Chromosome	2023-08-30	JAVGIZ01	1185
GCA_012460135.3	BPBGC_Mater_1.1	Molothrus ater	brown headed cowbird				BHLD 08-10-18	female		Chromosome	2022-10-11	JAAQZI01	373
GCF_012460135.2	BPBGC_Mater_1.1	Molothrus ater	brown headed cowbird				BHLD 08-10-18	female	GCF_012460135.2-RS_2023_03	Chromosome	2022-10-11	JAAQZI01	373
GCA_047922985.1	bEudEle1_v1.hap1	Eudromia elegans					YG026_01	female		Chromosome	2025-02-20	JBLSCL01	396
GCA_009650955.1	bCorMon1.pri	Corvus moneduloides					bCorMon1	female		Chromosome	2019-11-14	WHPO01	105
GCF_009650955.1	bCorMon1.pri	Corvus moneduloides					bCorMon1	female	NCBI Corvus moneduloides Annotation Release 100	Chromosome	2019-11-14	WHPO01	105
GCA_036250125.1	bDixPip1.hap1	Pseudopipra pipra					bDixPip1	female		Chromosome	2024-01-31	JAZAVG01	696
GCF_036250125.1	bDixPip1.hap1	Pseudopipra pipra					bDixPip1	female	GCF_036250125.1-RS_2024_04	Chromosome	2024-01-31	JAZAVG01	696
GCA_037013685.1	AcTris_vAus2.0	Acridotheres tristis					AcTrisAU			Chromosome	2024-03-06	JAQOXP01	256
GCA_030490865.1	bPoeAtr1.hap1	Poecile atricapillus					bPoeAtr1	female		Chromosome	2023-07-18	JAUKOI01	306
GCF_030490865.1	bPoeAtr1.hap1	Poecile atricapillus					bPoeAtr1	female	GCF_030490865.1-RS_2023_08	Chromosome	2023-07-18	JAUKOI01	306
GCA_965287035.1	bTurIli2.1	Turdus iliacus								Chromosome	2025-06-07	CBDIYQ01	346
GCA_009769625.2	bCygOlo1.pri.v2	Cygnus olor					bCygOlo1	male		Chromosome	2021-03-31	WNMI02	170
GCF_009769625.2	bCygOlo1.pri.v2	Cygnus olor					bCygOlo1	male	NCBI Cygnus olor Annotation Release 100	Chromosome	2021-03-31	WNMI02	170
GCA_039878825.1	bCotChi1.hap2	Excalfactoria chinensis					bCotChi1	male		Chromosome	2024-05-31	JBDMBA01	191
GCF_039878825.1	bCotChi1.hap2	Excalfactoria chinensis					bCotChi1	male	GCF_039878825.1-RS_2025_03	Chromosome	2024-05-31	JBDMBA01	191
GCA_965287025.1	bTurPhi1.1	Turdus philomelos								Chromosome	2025-06-07	CBDIYO01	280
GCA_048593965.1	ASM4859396v1	Phylloscopus trochiloides					GGZ183	male		Chromosome	2025-03-17	JBLXXF01	938
GCA_008360975.2	HeHo_2.0	Lichenostomus cassidix					B80296	female		Chromosome	2022-02-11	VLJF02	894
GCA_963264785.1	bPsiEch3.1	Psittacula echo								Chromosome	2023-08-20	CAUJLS01	171
GCA_903797595.2	bEriRub2.2	Erithacus rubecula								Chromosome	2021-05-03	CAIGJR02	1119
GCA_963082525.1	bNesMay2.1	Nesoenas mayeri								Chromosome	2023-08-09	CAUJAP01	142
GCA_963921805.1	bPhaCar2.1	Phalacrocorax carbo								Chromosome	2024-02-09	CAWUGV01	350
GCF_963921805.1	bPhaCar2.1	Phalacrocorax carbo							GCF_963921805.1-RS_2024_04	Chromosome	2024-02-09	CAWUGV01	350
GCA_964188355.1	bButBut1.hap1.1	Buteo buteo								Chromosome	2024-06-21	CAXLPB01	543
GCA_963924245.1	bChrRid1.1	Chroicocephalus ridibundus								Chromosome	2024-01-20	CAWUPF01	728
GCF_963924245.1	bChrRid1.1	Chroicocephalus ridibundus							GCF_963924245.1-RS_2024_02	Chromosome	2024-01-20	CAWUPF01	728
GCA_965231335.1	bBraCan1.1	Branta canadensis								Chromosome	2025-03-29	CBDDMX01	613
GCA_965151615.1	bCygCol1.1	Cygnus columbianus								Chromosome	2025-02-15	CBCUAN01	602
GCA_965250375.1	bColPal1.1	Columba palumbus								Chromosome	2025-04-20	CBDFOI01	718
GCA_965278775.1	bCygCyg1.hap1.1	Cygnus cygnus								Chromosome	2025-05-10	CBDIHB01	2056
GCA_964273445.1	bStrDea1.hap1.1	Streptopelia decaocto								Chromosome	2024-10-04	CAXWWO01	2450
GCA_965277985.1	bAnsEry1.hap1.1	Anser erythropus								Chromosome	2025-05-04	CBDIEH01	925
GCA_000247815.2	FicAlb1.5	Ficedula albicollis					OC2	male		Chromosome	2013-06-27	AGTO02	21835
GCF_000247815.1	FicAlb1.5	Ficedula albicollis					OC2	male	NCBI Ficedula albicollis Annotation Release 101	Chromosome	2013-06-27	AGTO02	21835
GCA_015220805.1	bPogPus1.pri	Pogoniulus pusillus					bPogPus1	female		Chromosome	2020-11-03	JADCQK01	252
GCF_015220805.1	bPogPus1.pri	Pogoniulus pusillus					bPogPus1	female	GCF_015220805.1-RS_2024_03	Chromosome	2020-11-03	JADCQK01	252
GCA_963513975.1	bFriCoe1.1	Fringilla coelebs								Chromosome	2023-09-28	CAUPSF01	459
GCA_000738735.6	ASM73873v6	Corvus cornix cornix					S_Up_H32	male		Chromosome	2022-04-01	JPSR04	46
GCF_000738735.6	ASM73873v6	Corvus cornix cornix					S_Up_H32	male	NCBI Corvus cornix cornix Annotation Release 104	Chromosome	2022-04-01	JPSR04	46
GCA_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male		Chromosome	2020-12-08	JACXWE01	618
GCF_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male	NCBI Motacilla alba alba Annotation Release 100	Chromosome	2020-12-08	JACXWE01	618
GCA_037962945.1	bSarPap1.hap1	Sarcoramphus papa					bSarPap1	female		Chromosome	2024-04-04	JBBMRM01	123
GCA_028858755.1	bAraAra1.hap1	Ara ararauna					bAraAra1	male		Chromosome	2023-02-24	JAQZCJ01	246
GCA_020745775.1	bTheCae1.pri.cur	Theristicus caerulescens					bTheCae1	female		Chromosome	2021-11-05	JAJGSR01	87
GCA_035582795.1	USCA_MyAme_1.0	Mycteria americana				Jacksonville Zoo and Gardens	JAX WOST 10	female	Annotation submitted by University of South Carolina Aiken	Chromosome	2024-01-12	JAUNZN01	279
GCA_023637945.2	bPhaSup1.pri	Phaethornis superciliosus					PSU5	male		Chromosome	2025-02-06	JAJQWJ02	65
GCA_045345405.1	bGuaGua1 haplotype 1	Guaruba guarouba					bGuaGua1	female		Chromosome	2024-12-02	JBIYQZ01	216
GCA_907165065.1	bCapEur3.1	Caprimulgus europaeus								Chromosome	2021-05-17	CAJRAV01	121
GCA_026413565.1	ASM2641356v1	Aythya baeri					LZ_2022	male		Chromosome	2022-11-27	JAKRSJ01	135
GCA_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				Queensland, Australia	AKBS03	male		Chromosome	2022-08-03	JABXOC02	567
GCF_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				Queensland, Australia	AKBS03	male	GCF_013377495.2-RS_2023_02	Chromosome	2022-08-03	JABXOC02	567
GCA_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female		Chromosome	2021-11-04	JAJGQY01	109
GCF_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female	GCF_020740795.1-RS_2023_02	Chromosome	2021-11-04	JAJGQY01	109
GCA_017639555.1	bCicMag1.pri	Ciconia maguari					bCicMag1	female		Chromosome	2021-03-30	JAGFVN01	152
GCA_030625065.1	ASM3062506v1	Alectoris magna	AM-B1					female		Chromosome	2023-08-08	JARUNP01	69
GCA_013368605.1	bNycGra1.pri	Nyctibius grandis					bNycGra1	female		Chromosome	2020-06-23	JABXNV01	190
GCF_013368605.1	bNycGra1.pri	Nyctibius grandis					bNycGra1	female	GCF_013368605.1-RS_2024_09	Chromosome	2020-06-23	JABXNV01	190
GCA_964304605.1	bLymMin2.1	Lymnocryptes minimus								Chromosome	2024-11-06	CAYAQQ01	1184
GCA_009819605.1	bSteHir1.pri	Sterna hirundo					bSteHir1	female		Chromosome	2019-12-31	WNMW01	122
GCA_020745705.1	bHemCom1.pri.cur	Hemiprocne comata					bHemCom1	female		Chromosome	2021-11-05	JAJGQW01	145
GCA_033816785.1	MNHN_PicVir_1.0	Picus viridis					MNHN-ZO-2020-125			Chromosome	2023-11-22	JAWKAJ01	1365
GCA_034336685.1	ASM3433668v1	Luscinia luscinia					LL32	female		Chromosome	2023-12-26	JAKWBO01	9477
GCA_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female		Chromosome	2020-01-03	WNMC01	93
GCF_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female	NCBI Chiroxiphia lanceolata Annotation Release 100	Chromosome	2020-01-03	WNMC01	93
GCA_032173965.1	ASM3217396v1	Sitta carolinensis				Pacific	UC16Y01	male		Chromosome	2023-09-29	JAVUNC01	359
GCA_034008185.1	SYSU_GOM	Gorsachius magnificus					SYSb9479_1	male		Chromosome	2023-12-01	JAXBDB01	79
GCA_008658365.1	bAlcTor1 primary	Alca torda					2006_11_07_Graehlm_vinge_78	male		Chromosome	2019-10-10	VMED01	94
GCA_028022735.1	bGypBar2.pri	Gypaetus barbatus					bGypBar2	female		Chromosome	2023-01-31	JAQMCM01	232
GCA_038380795.1	CAS-CDF_Pyrnan_1.0	Pyrocephalus nanus				Wet-Highlands	VF_31			Chromosome	2024-04-18	JAWZSU01	152
GCA_032191515.2	BPBGC_Pcur_1.0	Phaenicophaeus curvirostris					KB17595	female		Chromosome	2023-09-29	JASZXW01	587
GCF_032191515.1	BPBGC_Pcur_1.0	Phaenicophaeus curvirostris					KB17595	female	GCF_032191515.1-RS_2024_11	Chromosome	2023-09-29	JASZXW01	587
GCA_020746105.1	bTroSur1.pri.cur	Trogon surrucura					bTroSur1	female		Chromosome	2021-11-05	JAJGST01	181
GCA_901933205.1	STF_HiC	Camarhynchus parvulus								Chromosome	2019-09-06	CABFNF01	1345
GCF_901933205.1	STF_HiC	Camarhynchus parvulus							NCBI Camarhynchus parvulus Annotation Release 100	Chromosome	2019-09-06	CABFNF01	1345
GCA_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female		Chromosome	2023-02-09	JAPUFG01	716
GCF_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female	GCF_028500815.1-RS_2023_03	Chromosome	2023-02-09	JAPUFG01	716
GCA_017639485.1	bPluApr1.pri	Pluvialis apricaria					bPluApr1	female		Chromosome	2021-03-30	JAGGDV01	106
