Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_016772045.2	ARS-UI_Ramb_v3.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female	GCF_016772045.2-RS_2023_10	Chromosome	2023-07-20	JAEVFA01	142
GCA_001704415.2	ARS1.2	Capra hircus	San Clemente					male		Chromosome	2016-08-24	LWLT01	29885
GCF_001704415.2	ARS1.2	Capra hircus	San Clemente					male	NCBI Capra hircus Annotation Release 102	Chromosome	2016-08-24	LWLT01	29885
GCA_964237555.1	mOryCun1.1	Oryctolagus cuniculus								Chromosome	2024-08-31	CAXSJQ01	221
GCF_964237555.1	mOryCun1.1	Oryctolagus cuniculus							GCF_964237555.1-RS_2024_11	Chromosome	2024-08-31	CAXSJQ01	221
GCA_041296265.1	TB-T2T	Equus caballus	thoroughbred				H_3958	female		Chromosome	2024-08-16	JBFNWK01	624
GCF_041296265.1	TB-T2T	Equus caballus	thoroughbred				H_3958	female	GCF_041296265.1-RS_2024_12	Chromosome	2024-08-16	JBFNWK01	624
GCA_018350175.1	F.catus_Fca126_mat1.0	Felis catus					Fca126	female		Chromosome	2021-05-13	JAFEKA01	70
GCF_018350175.1	F.catus_Fca126_mat1.0	Felis catus					Fca126	female	NCBI Felis catus Annotation Release 105	Chromosome	2021-05-13	JAFEKA01	70
GCA_003668045.2	CriGri-PICRH-1.0	Cricetulus griseus		17A/GY				female		Chromosome	2020-06-11	RAZU02	647
GCF_003668045.3	CriGri-PICRH-1.0	Cricetulus griseus		17A/GY				female	NCBI Cricetulus griseus Annotation Release 104	Chromosome	2020-06-11	RAZU02	647
GCA_011100555.2	mCalJa1.2.pat.X	Callithrix jacchus					mCalJac1	male		Chromosome	2021-04-28	JAALXP02	1233
GCF_011100555.1	mCalJa1.2.pat.X	Callithrix jacchus					mCalJac1	male	GCF_011100555.1-RS_2023_03	Chromosome	2021-04-28	JAALXP02	1233
GCA_029378745.1	NIAB-ARS_B.indTharparkar_mat_pri_1.0	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female		Chromosome	2023-03-24	JAPFIJ01	67
GCF_029378745.1	NIAB-ARS_B.indTharparkar_mat_pri_1.0	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female	GCF_029378745.1-RS_2024_12	Chromosome	2023-03-24	JAPFIJ01	67
GCA_047675955.1	mChlSab1.0.hap1	Chlorocebus sabaeus					Y175	female		Chromosome	2025-02-12	JBLKOC01	1654
GCF_047675955.1	mChlSab1.0.hap1	Chlorocebus sabaeus					Y175	female	GCF_047675955.1-RS_2025_04	Chromosome	2025-02-12	JBLKOC01	1654
GCA_005887515.3	BosGru3.1	Bos grunniens				maiwa	yakHY00	male		Chromosome	2019-06-10	VBZB01	343
GCA_011064425.1	Rrattus_CSIRO_v1	Rattus rattus					New Zealand	male		Chromosome	2020-03-04	JAAIVD01	2172
GCF_011064425.1	Rrattus_CSIRO_v1	Rattus rattus					New Zealand	male	NCBI Rattus rattus Annotation Release 100	Chromosome	2020-03-04	JAAIVD01	2172
GCA_027887165.1	mMonDom1.pri	Monodelphis domestica					mMonDom1	male		Chromosome	2023-01-18	JAQIHD01	13
GCF_027887165.1	mMonDom1.pri	Monodelphis domestica					mMonDom1	male	GCF_027887165.1-RS_2023_05	Chromosome	2023-01-18	JAQIHD01	13
GCA_008728515.2	Panubis1.1	Papio anubis					15944	male		Chromosome	2022-04-27	VSMJ02	11149
GCA_008728515.1	Panubis1.0	Papio anubis					15944	male		Chromosome	2019-10-02	VSMJ01	11144
GCF_008728515.1	Panubis1.0	Papio anubis					15944	male	NCBI Papio anubis Annotation Release 104	Chromosome	2019-10-02	VSMJ01	11144
GCA_043159975.1	mMacNem.hap1	Macaca nemestrina					mMacNem1	male		Chromosome	2024-10-15	JBHNYF01	361
GCF_043159975.1	mMacNem.hap1	Macaca nemestrina					mMacNem1	male	GCF_043159975.1-RS_2025_01	Chromosome	2024-10-15	JBHNYF01	361
GCA_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus					GS200	female	Annotation submitted by Stanford University School of Medicine	Chromosome	2021-02-17	JAESOR01	7131
GCF_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus					GS200	female	NCBI Ictidomys tridecemlineatus Annotation Release 103	Chromosome	2021-02-17	JAESOR01	7131
GCA_041296235.2	EquAss-T2T_v2	Equus asinus	Donkey				D_3611	male		Chromosome	2024-12-12	JBFNWJ02	848
GCF_041296235.1	EquAss-T2T_v2	Equus asinus	Donkey				D_3611	male	GCF_041296235.1-RS_2024_12	Chromosome	2024-12-12	JBFNWJ02	848
GCA_002007445.3	ASM200744v3	Ailuropoda melanoleuca					Jingjing	female		Chromosome	2020-04-20	LNAT02	73513
GCF_002007445.2	ASM200744v3	Ailuropoda melanoleuca					Jingjing	female	NCBI Ailuropoda melanoleuca Annotation Release 103	Chromosome	2020-04-20	LNAT02	73513
GCA_048773025.1	ASM4877302v1	Camelus bactrianus	Bactrian camel				YW-2024	female		Chromosome	2025-03-21	JBLYYY01	157
GCF_048773025.1	ASM4877302v1	Camelus bactrianus	Bactrian camel				YW-2024	female	GCF_048773025.1-RS_2025_06	Chromosome	2025-03-21	JBLYYY01	157
GCA_011762595.2	mTurTru1.mat.Y	Tursiops truncatus					mTurTru1	male		Chromosome	2024-12-12	JAAOMD01	361
GCF_011762595.2	mTurTru1.mat.Y	Tursiops truncatus					mTurTru1	male	GCF_011762595.2-RS_2025_04	Chromosome	2024-12-12	JAAOMD01	361
GCA_003704035.3	HU_Pman_2.1.3	Peromyscus maniculatus bairdii					BW	female		Chromosome	2020-09-17	RCWR01	8523
GCF_003704035.1	HU_Pman_2.1.3	Peromyscus maniculatus bairdii					BW	female	NCBI Peromyscus maniculatus bairdii Annotation Release 102	Chromosome	2020-09-17	RCWR01	8523
GCA_004115265.3	mRhiFer1_v1.p	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	female		Chromosome	2019-05-17	RXPC01	134
GCF_004115265.2	mRhiFer1_v1.p	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	male	GCF_004115265.2-RS_2023_02	Chromosome	2019-05-16	RXPC01	134
GCA_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus					mEleMax1	male		Chromosome	2022-07-06	JAMZQU01	64
GCF_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus					mEleMax1	male	GCF_024166365.1-RS_2023_02	Chromosome	2022-07-06	JAMZQU01	64
GCA_018350195.2	P.tigris_Pti1_mat1.1	Panthera tigris					Pti1	female		Chromosome	2021-05-13	JAEQMW01	74
GCF_018350195.1	P.tigris_Pti1_mat1.1	Panthera tigris					Pti1	female	NCBI Panthera tigris Annotation Release 102	Chromosome	2021-05-13	JAEQMW01	74
GCA_036321535.1	mCamDro1.pat	Camelus dromedarius					mCamDro1	male		Chromosome	2024-01-31	JAZARU01	171
GCF_036321535.1	mCamDro1.pat	Camelus dromedarius					mCamDro1	male	GCF_036321535.1-RS_2024_04	Chromosome	2024-01-31	JAZARU01	171
GCA_028372415.2	mMacEug1.pri_v2	Notamacropus eugenii					mMacEug1	male		Chromosome	2023-02-06	JAQOLO01	272
GCF_028372415.1	mMacEug1.pri_v2	Notamacropus eugenii					mMacEug1	male	GCF_028372415.1-RS_2025_03	Chromosome	2023-02-06	JAQOLO01	272
GCA_020171115.1	ASM_NN_V1	Neogale vison					M4711	female		Chromosome	2021-09-29	JAIAWX01	182
GCF_020171115.1	ASM_NN_V1	Neogale vison					M4711	female	NCBI Neovison vison Annotation Release 100	Chromosome	2021-09-29	JAIAWX01	182
GCA_902635505.1	mSarHar1.11	Sarcophilus harrisii								Chromosome	2019-11-07	CACPPN01	105
GCF_902635505.1	mSarHar1.11	Sarcophilus harrisii							NCBI Sarcophilus harrisii Annotation Release 103	Chromosome	2019-11-07	CACPPN01	105
GCA_003369695.2	UOA_Brahman_1	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male		Chromosome	2018-11-30	PUFS02	1250
GCF_003369695.1	UOA_Brahman_1	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male	NCBI Bos indicus x Bos taurus Annotation Release 100	Chromosome	2018-11-30	PUFS02	1250
GCA_048564905.1	VicPac4	Vicugna pacos	huacaya				Carlotta	female		Chromosome	2025-03-12	JBLVOU01	519
GCF_048564905.1	VicPac4	Vicugna pacos							GCF_048564905.1-RS_2025_04	Chromosome	2025-03-12	JBLVOU01	519
GCA_040085125.1	ASM4008512v1	Cervus nippon					HPL2020	male		Chromosome	2024-06-07	JAYKZF01	51
GCA_040802235.1	MJ_LKY	Manis javanica					MJ-LG	male		Chromosome	2024-07-22	JBFMMM01	62
GCF_040802235.1	MJ_LKY	Manis javanica					MJ-LG	male	GCF_040802235.1-RS_2025_04	Chromosome	2024-07-22	JBFMMM01	62
GCA_030254825.1	Bangor_MerUng_6.1	Meriones unguiculatus		TT.TT164.6M				male		Chromosome	2023-06-12	JAODIK01	193
GCF_030254825.1	Bangor_MerUng_6.1	Meriones unguiculatus		TT.TT164.6M				male	GCF_030254825.1-RS_2023_10	Chromosome	2023-06-12	JAODIK01	193
GCA_000317375.1	MicOch1.0	Microtus ochrogaster					Prairie Vole_2	female		Chromosome	2012-12-07	AHZW01	6450
GCF_000317375.1	MicOch1.0	Microtus ochrogaster					Prairie Vole_2	female	NCBI Microtus ochrogaster Annotation Release 102	Chromosome	2012-12-07	AHZW01	6450
GCA_048418805.1	VulVul3	Vulpes vulpes					BD-2025	female		Chromosome	2025-03-05	JBKIPQ01	289
GCF_048418805.1	VulVul3	Vulpes vulpes					BD-2025	female	GCF_048418805.1-RS_2025_03	Chromosome	2025-03-05	JBKIPQ01	289
GCA_030445035.2	mDasNov1.1.hap2	Dasypus novemcinctus					mDasNov1	male		Chromosome	2023-07-13	JAUJUA01	545
GCF_030445035.2	mDasNov1.1.hap2	Dasypus novemcinctus					mDasNov1	male	GCF_030445035.2-RS_2025_01	Chromosome	2023-07-13	JAUJUA01	545
GCA_030014295.1	mLoxAfr1.hap2	Loxodonta africana					mLoxAfr1	male		Chromosome	2023-05-16	JASCQR01	879
GCF_030014295.1	mLoxAfr1.hap2	Loxodonta africana					mLoxAfr1	male	GCF_030014295.1-RS_2024_04	Chromosome	2023-05-16	JASCQR01	879
GCA_043643345.1	YUN_Gayal_1	Bos frontalis	Chinese Gayal					male		Chromosome	2024-10-24	JBIDEE01	1068
GCA_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	LL Stock					female		Chromosome	2020-10-02	NMRJ02	1856
GCF_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	LL Stock					female	NCBI Peromyscus leucopus Annotation Release 101	Chromosome	2020-10-02	NMRJ02	1856
GCA_949782905.1	mRanTar1.h1.1	Rangifer tarandus platyrhynchus							Annotation submitted by EBP Norway	Chromosome	2023-04-20	CATKSN02	1395
GCA_029890205.1	ASM2989020v1	Acomys cahirinus					Evolution Canyon			Chromosome	2023-05-01	JAJTCZ01	34
GCA_004115215.4	mOrnAna1.pri.v4	Ornithorhynchus anatinus					Pmale09	male		Chromosome	2020-11-06	RZJT02	321
GCF_004115215.2	mOrnAna1.pri.v4	Ornithorhynchus anatinus					Pmale09	male	NCBI Ornithorhynchus anatinus Annotation Release 105	Chromosome	2020-11-06	RZJT02	321
GCA_023065955.2	UrsArc2.0	Ursus arctos				North America	Adak	male		Chromosome	2023-05-22	JALAAU02	361
GCF_023065955.2	UrsArc2.0	Ursus arctos				North America	Adak	male	GCF_023065955.2-RS_2023_06	Chromosome	2023-05-22	JALAAU02	361
GCA_007565055.1	ASM756505v1	Rhinopithecus roxellana					Shanxi Qingling	male		Chromosome	2019-07-29	VMRL01	3256
GCF_007565055.1	ASM756505v1	Rhinopithecus roxellana					Shanxi Qingling	male	NCBI Rhinopithecus roxellana Annotation Release 101	Chromosome	2019-07-29	VMRL01	3256
GCA_910594005.1	mCerEla1.1	Cervus elaphus								Chromosome	2021-07-07	CAJVBL01	144
GCF_910594005.1	mCerEla1.1	Cervus elaphus							NCBI Cervus elaphus Annotation Release 100	Chromosome	2021-07-07	CAJVBL01	144
GCA_028885655.3	NHGRI_mPonAbe1-v2.1_pri	Pongo abelii					AG06213	male		Chromosome	2024-01-05	JAQQLQ02	29
GCF_028885655.2	NHGRI_mPonAbe1-v2.1_pri	Pongo abelii					AG06213	male	GCF_028885655.2-RS_2024_02	Chromosome	2024-01-05	JAQQLQ02	29
GCA_047301775.1	ASM4730177v1	Sigmodon hispidus					SQ-2024	female		Chromosome	2025-01-30	JBIUDE01	39
GCA_027580195.2	NWIPB_WYAK_1.1	Bos mutus					GX-2022	male		Chromosome	2023-01-09	JANCMR01	2039
GCF_027580195.1	NWIPB_WYAK_1.1	Bos mutus					GX-2022	male	GCF_027580195.1-RS_2024_12	Chromosome	2023-01-09	JANCMR01	2039
GCA_018345385.1	ASM1834538v1	Vulpes lagopus		Blue_001				female		Chromosome	2021-05-12	JADWOQ01	928
GCF_018345385.1	ASM1834538v1	Vulpes lagopus		Blue_001				female	NCBI Vulpes lagopus Annotation Release 100	Chromosome	2021-05-12	JADWOQ01	928
GCA_030020395.1	mManPen7.hap1	Manis pentadactyla					mManPen7	male		Chromosome	2023-05-23	JASFZP01	661
GCF_030020395.1	mManPen7.hap1	Manis pentadactyla					mManPen7	male	GCF_030020395.1-RS_2023_06	Chromosome	2023-05-23	JASFZP01	661
GCA_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus					mTacAcu1	male		Chromosome	2020-12-09	JADRJE01	310
GCF_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus					mTacAcu1	male	NCBI Tachyglossus aculeatus Annotation Release 100	Chromosome	2020-12-09	JADRJE01	310
GCA_963930625.1	mMunRee1.1	Muntiacus reevesi								Chromosome	2024-01-31	CAWVNM01	267
GCF_963930625.1	mMunRee1.1	Muntiacus reevesi							GCF_963930625.1-RS_2024_06	Chromosome	2024-01-31	CAWVNM01	267
GCA_023699985.4	Ovbor_1.2	Odocoileus virginianus				Illinois	20LAN1187	male		Chromosome	2024-10-17	JAJQKH02	480
GCF_023699985.2	Ovbor_1.2	Odocoileus virginianus				Illinois	20LAN1187	male	GCF_023699985.2-RS_2024_12	Chromosome	2024-10-17	JAJQKH02	480
GCA_016509475.2	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis					Pbe53	male		Chromosome	2021-01-06	JADZGN01	83
GCF_016509475.1	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis					Pbe53	male	NCBI Prionailurus bengalensis Annotation Release 100	Chromosome	2021-01-06	JADZGN01	83
GCA_028583565.1	CAU_O.ammon polii_1.0	Ovis ammon polii					CAU-MHL-2022a	male	Annotation submitted by China Agricultural University	Chromosome	2023-02-10	JAKZEL01	62
GCA_027475565.2	VMU_Ajub_asm_v1.0	Acinonyx jubatus					Ajub_Pintada_27869175	female		Chromosome	2022-12-28	JANJSO01	195
GCF_027475565.1	VMU_Ajub_asm_v1.0	Acinonyx jubatus					Ajub_Pintada_27869175	female	GCF_027475565.1-RS_2023_04	Chromosome	2022-12-28	JANJSO01	195
GCA_018350215.1	P.leo_Ple1_pat1.1	Panthera leo					Ple1	male		Chromosome	2021-05-13	JAEQMX01	53
GCF_018350215.1	P.leo_Ple1_pat1.1	Panthera leo					Ple1	male	NCBI Panthera leo Annotation Release 100	Chromosome	2021-05-13	JAEQMX01	53
GCA_028021215.1	mEscRob2.pri	Eschrichtius robustus					mEscRob2	male		Chromosome	2023-01-31	JAQMHY01	703
GCF_028021215.1	mEscRob2.pri	Eschrichtius robustus					mEscRob2	male	GCF_028021215.1-RS_2024_09	Chromosome	2023-01-31	JAQMHY01	703
GCA_006542625.1	Asia_NLE_v1	Nomascus leucogenys					Asia	female		Chromosome	2019-07-02	VIFL01	2376
GCF_006542625.1	Asia_NLE_v1	Nomascus leucogenys					Asia	female	NCBI Nomascus leucogenys Annotation Release 103	Chromosome	2019-07-02	VIFL01	2376
GCA_022682495.2	HLdesRot8A.1	Desmodus rotundus					HL8	male		Chromosome	2022-03-24	JAKFFZ01	573
GCF_022682495.2	HLdesRot8A.1	Desmodus rotundus					HL8	male	GCF_022682495.2-RS_2025_02	Chromosome	2022-03-24	JAKFFZ01	573
GCA_042477335.2	ARS-UI_OviCan_v2	Ovis canadensis	Bighorn				MfBH-ARS-UI-01	male		Chromosome	2024-10-18	JBGCUV01	41
GCF_042477335.2	ARS-UI_OviCan_v2	Ovis canadensis	Bighorn				MfBH-ARS-UI-01	male	GCF_042477335.2-RS_2024_12	Chromosome	2024-10-18	JBGCUV01	41
GCA_020976825.1	BYU_Ohem_2021	Odocoileus hemionus					AT2021a	female		Chromosome	2021-11-30	JAJLRB01	5513
GCA_029289425.3	NHGRI_mPanPan1-v2.1_pri	Pan paniscus						male		Chromosome	2024-08-13	JARIFH02	30
GCF_029289425.2	NHGRI_mPanPan1-v2.1_pri	Pan paniscus						male	GCF_029289425.2-RS_2024_02	Chromosome	2024-01-08	JARIFH02	30
GCA_043728065.1	ASM4372806v1	Rhinolophus affinis				China	20211001_DDa	male		Chromosome	2024-10-24	JARCLV01	2193
GCA_047511655.2	mCasCan1.hap1v2	Castor canadensis					mCasCan1	female		Chromosome	2025-02-10	JBLFKA01	181
GCF_047511655.1	mCasCan1.hap1v2	Castor canadensis							GCF_047511655.1-RS_2025_05	Chromosome	2025-02-10	JBLFKA01	181
GCA_964146895.2	mMinSch1.hap1.2	Miniopterus schreibersii								Chromosome	2025-04-05	CAXLBM02	185
GCA_014182915.2	ARS_UOA_Gaur_1.1	Bos gaurus					Gaur_Henry_Doorly_Zoo_5443	female		Chromosome	2020-08-14	JACAOC01	634
GCA_030435755.1	mOchPri1.hap1	Ochotona princeps					mOchPri1	male		Chromosome	2023-07-13	JAUDYK01	5864
GCF_030435755.1	mOchPri1.hap1	Ochotona princeps					mOchPri1	male	GCF_030435755.1-RS_2023_07	Chromosome	2023-07-13	JAUDYK01	5864
GCA_027595985.1	mSorAra2.pri	Sorex araneus					mSorAra2	male		Chromosome	2023-01-09	JAQBIA01	65
GCF_027595985.1	mSorAra2.pri	Sorex araneus					mSorAra2	male	GCF_027595985.1-RS_2023_04	Chromosome	2023-01-09	JAQBIA01	65
GCA_000165445.3	Mmur_3.0	Microcebus murinus					mixed	pooled male and female		Chromosome	2017-02-06	ABDC03	7677
GCF_000165445.2	Mmur_3.0	Microcebus murinus					mixed	pooled male and female	NCBI Microcebus murinus Annotation Release 101	Chromosome	2017-02-06	ABDC03	7677
GCA_002837175.5	ASM283717v5	Physeter macrocephalus					SW-GA	female		Chromosome	2023-02-28	PGGR02	12168
GCF_002837175.3	ASM283717v5	Physeter macrocephalus					SW-GA	female	GCF_002837175.3-RS_2025_01	Chromosome	2023-02-28	PGGR02	12168
GCA_000978405.1	CapAeg_1.0	Capra aegagrus					BamuBGIKM			Chromosome	2015-04-24	JXYW01	89498
GCA_023159225.1	ASM2315922v1	Perognathus longimembris pacificus					PPM17	male		Chromosome	2022-04-27	JALGBO01	6180
GCF_023159225.1	ASM2315922v1	Perognathus longimembris pacificus					PPM17	male	NCBI Perognathus longimembris pacificus Annotation Release 100	Chromosome	2022-04-27	JALGBO01	6180
GCA_922984935.2	mMelMel3.2 paternal haplotype	Meles meles								Chromosome	2022-03-23	CAKLPM02	537
GCA_922984935.1	mMelMel3.1 paternal haplotype	Meles meles								Chromosome	2021-12-19	CAKLPM01	537
GCF_922984935.1	mMelMel3.1 paternal haplotype	Meles meles							NCBI Meles meles Annotation Release 100	Chromosome	2021-12-19	CAKLPM01	537
GCA_009493645.1	ARS_UNL_BGru_maternal_1.0_p	Bos grunniens x Bos taurus					Esperanza	female		Chromosome	2019-11-04	VLPI01	484
GCA_047511675.1	mMarFla1.hap1	Marmota flaviventris					mMarFla1	male		Chromosome	2025-02-10	JBLFKC01	813
GCF_047511675.1	mMarFla1.hap1	Marmota flaviventris					mMarFla1	male	GCF_047511675.1-RS_2025_02	Chromosome	2025-02-10	JBLFKC01	813
GCA_027574615.1	DD_ASM_mEF_20220401	Eptesicus fuscus					TK198812	male		Chromosome	2023-01-09	JANZWY01	48
GCF_027574615.1	DD_ASM_mEF_20220401	Eptesicus fuscus					TK198812	male	GCF_027574615.1-RS_2023_03	Chromosome	2023-01-09	JANZWY01	48
GCA_937001465.1	mOrcOrc1.1	Orcinus orca								Chromosome	2022-05-03	CAKZJT01	447
GCF_937001465.1	mOrcOrc1.1	Orcinus orca							GCF_937001465.1-RS_2023_02	Chromosome	2022-05-03	CAKZJT01	447
GCA_036562045.1	ASM3656204v1	Rhinolophus sinicus					RSC01	male		Chromosome	2024-06-26	JAYKMD01	454
GCA_040955705.1	LycPic1.final.hap2	Lycaon pictus					LycPic1	male		Chromosome	2024-08-01	JBCEDD01	76
GCA_041834305.1	ASM4183430v1	Megaptera novaeangliae					KW2013002			Chromosome	2024-09-09	JBGMDX01	1355
GCA_009762305.2	mZalCal1.pri.v2	Zalophus californianus					mZalCal1	male		Chromosome	2020-07-14	WPOA02	46
GCF_009762305.2	mZalCal1.pri.v2	Zalophus californianus					mZalCal1	male	NCBI Zalophus californianus Annotation Release 101	Chromosome	2020-07-14	WPOA02	46
GCA_902655055.2	mLutLut1.2	Lutra lutra								Chromosome	2020-07-31	CACRWI02	43
GCF_902655055.1	mLutLut1.2	Lutra lutra							GCF_902655055.1-RS_2023_03	Chromosome	2020-07-31	CACRWI02	43
GCA_037783145.1	EquPr2	Equus przewalskii					Varuska	female		Chromosome	2024-04-01	JAZHEL01	2146
GCF_037783145.1	EquPr2	Equus przewalskii					Varuska	female	GCF_037783145.1-RS_2024_12	Chromosome	2024-04-01	JAZHEL01	2146
